userID,expectation condition, first robot condition,risky trial ordering,safe trial ordering,money round condition,order if safe chosen, order if risky chosen
1,low_exp_1,safe_first,DCBA,EEFF,money_success,F,A, 
2,low_exp_1,safe_first,ADCB,EEFF,money_fail,F,C, 
3,low_exp_1,risky_first,CBDA,EFEF,money_fail,E,B, 
4,high_exp_3,safe_first,AABA,KJKJ,money_success,J,A, 
5,high_exp_3,safe_first,ABAA,KJJK,money_success,J,A, 
6,high_exp_3,risky_first,BAAA,JKJK,money_success,K,A, 
7,low_exp_1,risky_first,DACB,EEFF,money_fail,E,C, 
8,low_exp_1,safe_first,BADC,FEFE,money_fail,F,B, 
9,high_exp_3,safe_first,AAAB,JKKJ,money_success,J,A, 
10,low_exp_1,safe_first,BACD,EFFE,money_fail,F,C, 
11,low_exp_1,safe_first,BCAD,FFEE,money_success,E,A, 
12,high_exp_3,safe_first,AABA,KJJK,money_fail,J,B, 
13,high_exp_3,safe_first,ABAA,KKJJ,money_fail,K,B, 
14,low_exp_1,risky_first,CDBA,FFEE,money_success,F,A, 
15,low_exp_1,safe_first,ADBC,FEFE,money_fail,E,D, 
16,low_exp_1,safe_first,DBAC,FEFE,money_fail,F,D, 
17,high_exp_3,safe_first,BAAA,JJKK,money_fail,K,B, 
18,low_exp_1,safe_first,ACDB,FEFE,money_fail,F,B, 
19,high_exp_3,risky_first,AAAB,KKJJ,money_fail,J,B, 
20,high_exp_3,risky_first,AAAB,JKJK,money_fail,J,B, 
21,low_exp_1,safe_first,CADB,EFFE,money_fail,F,B, 
22,low_exp_1,safe_first,CBAD,FFEE,money_fail,E,C, 
23,low_exp_1,risky_first,DCBA,FFEE,money_fail,F,C, 
24,low_exp_1,risky_first,DCAB,FFEE,money_fail,F,C, 
25,high_exp_3,safe_first,AAAB,JKJK,money_success,J,A, 
26,low_exp_1,risky_first,CDAB,EFEF,money_fail,E,B, 
27,low_exp_1,safe_first,DACB,FEEF,money_success,F,A, 
28,high_exp_3,safe_first,AABA,JKKJ,money_fail,J,B, 
29,high_exp_3,safe_first,BAAA,KKJJ,money_success,J,A, 
30,high_exp_3,safe_first,AABA,JJKK,money_fail,K,B, 
31,low_exp_1,risky_first,DBCA,EFEF,money_fail,F,B, 
32,low_exp_1,safe_first,CDBA,FEFE,money_success,E,A, 
33,low_exp_1,risky_first,DACB,FEEF,money_success,F,A, 
34,high_exp_3,safe_first,AAAB,JJKK,money_fail,K,B, 
35,high_exp_3,safe_first,AAAB,KJKJ,money_success,J,A, 
36,low_exp_1,risky_first,BDAC,FEEF,money_success,E,A, 
37,high_exp_3,risky_first,AAAB,KJKJ,money_fail,J,B, 
38,low_exp_1,risky_first,ACBD,EFFE,money_success,E,A, 
39,low_exp_1,risky_first,ABCD,FEEF,money_success,E,A, 
40,high_exp_3,risky_first,AAAB,JKKJ,money_success,K,A, 
41,high_exp_3,safe_first,BAAA,KJJK,money_success,K,A, 
42,high_exp_3,risky_first,AAAB,KJKJ,money_success,J,A, 
43,high_exp_3,risky_first,ABAA,JKKJ,money_fail,K,B, 
44,high_exp_3,risky_first,AABA,JKKJ,money_fail,J,B, 
45,low_exp_1,safe_first,ACDB,EFEF,money_success,E,A, 
46,high_exp_3,safe_first,AAAB,KJJK,money_fail,J,B, 
47,high_exp_3,risky_first,BAAA,KKJJ,money_success,J,A, 
48,high_exp_3,risky_first,AABA,KJJK,money_success,K,A, 
49,high_exp_3,risky_first,ABAA,KJKJ,money_success,K,A, 
50,low_exp_1,safe_first,DCAB,EFFE,money_success,F,A, 
51,low_exp_1,safe_first,DABC,EEFF,money_success,F,A, 
52,high_exp_3,safe_first,AABA,JJKK,money_fail,K,B, 
53,low_exp_1,risky_first,BCDA,FEEF,money_fail,F,C, 
54,low_exp_1,risky_first,DABC,FEFE,money_fail,E,B, 
55,low_exp_1,safe_first,DBCA,EFFE,money_success,E,A, 
56,high_exp_3,risky_first,AAAB,JKKJ,money_fail,K,B, 
57,low_exp_1,risky_first,ADBC,FFEE,money_success,F,A, 
58,low_exp_1,safe_first,DCBA,FEFE,money_success,E,A, 
59,low_exp_1,safe_first,ADCB,FEEF,money_fail,F,B, 
60,high_exp_3,safe_first,AAAB,KJKJ,money_success,K,A, 
61,high_exp_3,safe_first,BAAA,KJKJ,money_success,J,A, 
62,high_exp_3,risky_first,BAAA,JKKJ,money_fail,K,B, 
63,low_exp_1,risky_first,BCDA,FEFE,money_success,E,A, 
64,low_exp_1,risky_first,ABDC,FFEE,money_fail,E,C, 
65,low_exp_1,risky_first,DBAC,EEFF,money_success,E,A, 
66,high_exp_3,risky_first,ABAA,JKKJ,money_success,K,A, 
67,high_exp_3,risky_first,ABAA,KKJJ,money_fail,J,B, 
68,high_exp_3,risky_first,BAAA,JKKJ,money_fail,J,B, 
69,high_exp_3,safe_first,ABAA,JKKJ,money_fail,J,B, 
70,low_exp_1,risky_first,CABD,FEEF,money_success,F,A, 
71,high_exp_3,risky_first,AAAB,KJJK,money_success,J,A, 
72,high_exp_3,safe_first,ABAA,JKKJ,money_success,J,A, 
73,low_exp_1,risky_first,BDAC,FEFE,money_success,F,A, 
74,high_exp_3,risky_first,BAAA,JJKK,money_success,K,A, 
75,low_exp_1,risky_first,CBAD,EFFE,money_fail,F,B, 
76,high_exp_3,risky_first,BAAA,JKJK,money_fail,J,B, 
77,low_exp_1,safe_first,BDAC,EFEF,money_fail,F,B, 
78,high_exp_3,safe_first,BAAA,KJKJ,money_fail,K,B, 
79,low_exp_1,safe_first,DBAC,EFEF,money_success,F,A, 
80,high_exp_3,risky_first,AABA,JKKJ,money_success,K,A, 
