ParticipantID,TrialID,age,gender,fam_drone,oft_drone,exp_drone,T1_F,T2_F,T3_F,T4_F,T5_F,T6_F,T7_F,T8_F,T9_F,T1_NF,T2_NF,T3_NF,T4_NF,T5_NF,T6_NF,T7_NF,T8_NF,T9_NF,R1,R2,R3,R4,R5,R6,final_feedback
1,failure,27,Male,2,2,1,5,1,2,4,5,3,5,6,3,3,1,3,5,5,2,5,6,3,5,6,5,2,6,4,NA
2,flawless,26,Male,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,7,7,7,7,7,6,2,7,3,6,4,6,NA
6,flawless,28,Female,2,1,1,6,1,5,2,5,2,4,3,5,2,1,2,1,3,2,3,2,3,2,5,3,2,4,5,Drone moves too slow
7,flawless,35,Female,1,1,1,7,3,7,7,7,6,7,7,7,6,3,5,6,5,7,5,7,4,6,6,3,5,2,5,The unreliable behavior of the second was prediabtle from the first survey questions 
99,failure,25,Male,5,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NA
98,flawless,25,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NA
8,failure,23,Female,1,1,1,2,4,2,3,4,1,2,2,1,5,4,5,6,5,4,6,6,6,3,4,4,2,7,4,The user interfsce was frustratimg because the buttons disappeared
89,flawless,22,Male,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,NA
88,failure,24,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,NA
9,failure,26,Male,1,1,1,3,2,5,6,7,3,3,5,5,6,2,6,6,6,5,5,6,6,2,6,6,3,4,6,Thanks!
87,flawless,26,Male,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NA
10,failure,5,5,5,7,6,5,6,7,6,6,5,6,7,6,6,6,6,6,1,6,6,4,6,1,It was really good interactive session controlling the drone 
11,flawless,24,Female,1,1,1,5,1,4,7,4,5,4,7,5,6,1,6,7,7,7,6,7,7,6,7,7,5,2,7,It was fun :)
12,flawless,57,Male,1,1,1,2,2,2,2,2,2,2,2,2,4,3,3,6,3,3,3,4,4,5,5,5,5,3,6,No

